id,db_id,item,search_en,search_jp_full,search_jp,auccat_id,min_price_yen
108,ObRlHmCaeI91m67FPZcU,N64 Con,Nintendo64 N64 Controller,ニンテンドー64 コントローラ,コントローラ,22850,0
37,8zDMF4CCUEmyUqsRJ52j,N64, Nintendo64 N64 Console,ニンテンドー64 本体,本体,22850,0
199,kCt6oojsowe40mds4qRk,PS1, Playstation 1 PS1 Console,プレイステーション1 PS1 本体,本体,22860,0
193,hVKSTky2gYJAeDddNOQV,DS Lite, Nintendo DS Lite Console,ニンテンドーDS Lite 本体,本体,2084237619,0
244,zLLBDzmDK3ShYnB3SSdc,3DS, Nintendo 3DS Console,ニンテンドー3DS 本体, 本体,2084290226,0
100,MnXL65CEkGZeQy1L2hsI,N64 Fishing Rod, Nintendo 64 Fishing Rod,ニンテンドー64 つりコン,つりコン64,22850,0
210,pINnaOh7hK6yso0Nhp6O,PS2 Mem Card [KOTOBUKI],PS2 Memory Card Kotobuki,PS2 メモリーカード,メモリーカード,22860,0
154,YzDfvc0FLvQkBtcpEcfX,GC Con,Gamecube Controller,ゲームキューブ コントローラ,コントローラ,2084045784,10000
95,LK69eegFwn2onBK7j6rF,Wii Con,Wii Controller,Wii クラシックコントローラーPRO,クラシックコントローラーPRO,2084217064,0
99,MiHrfjmgylh1GdiKJhal,Wii TV Remote,Wii TV Remote,Wii リモコン,リモコン,2084217064,3000