id,item
1,Nintendo DS Original Console
2,Nintendo DS Lite Console
3,Nintendo DSi Console
4,Nintendo 2DS Console
5,Nintendo 3DS Console
6,Nintendo Famicom Console
7,Nintendo SNES Console
8,Nintendo Game Boy Micro Console
9,Nintendo Game Boy Advance Console
10,Nintendo Game Boy Advance SP Console 
11,Nintendo Game Boy Color Console
12,Nintendo Game Boy Console
13,Nintendo Switch Console
14,Nintendo Switch Lite Console
15,Nintendo Switch OLED Console
16,N64 Controller 
17,Gamecube Controller
18,XBOX Controller
19,Playstation Controller
20,Nintendo Switch Pro Controller
21,Nintendo Joy-Con